Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000168,Scarborough,91471,6540,6268,5367,4703,5655,6933,7998,7683,7500,8720,7212,6099,4821,3713,2259
Scotland District,S12000026,Scottish Borders,95900,6400,5300,5000,5100,6700,8700,9200,8700,8000,8900,7100,5900,4600,6300,0
England and Wales District,E07000188,Sedgemoor,94346,7109,6193,5671,5473,6301,8249,8859,8051,7585,8482,6932,5514,4366,3387,2174
England and Wales District,E08000014,Sefton,227154,16642,15915,14915,13445,15389,18772,21160,20290,17790,18420,15058,13715,11879,8833,4931
England and Wales District,E07000169,Selby,68560,5007,4453,4346,4420,5518,6651,7053,6289,5419,6001,4463,3239,2655,1899,1147
England and Wales District,E07000111,Sevenoaks,92862,6877,5232,5234,6263,7374,8740,9084,8030,7202,8188,6318,4966,4194,3252,1908
England and Wales District,E08000019,Sheffield,454018,42309,56134,38805,35936,34878,39453,36497,32216,27578,28687,24114,20574,16800,12437,7600
England and Wales District,E07000112,Shepway,88799,6590,6200,5591,5601,6234,7697,7815,7166,6616,8142,6418,5175,4124,3289,2141
Scotland District,S12000027,Shetland Islands,18800,1400,1300,1200,1400,1500,1700,1800,1600,1600,1600,1200,900,700,900,0
England and Wales District,E06000051,Shropshire,254048,18951,16619,15619,15405,17790,22163,23574,21004,20160,22300,19059,15153,11709,8971,5571
England and Wales District,E06000039,Slough,107821,8574,9574,13351,14201,11608,10093,8993,7631,6391,5160,3536,3101,2626,1879,1103
England and Wales District,E08000029,Solihull,168417,13406,11365,10664,10683,12380,15355,16534,14258,12226,13830,11530,8933,7529,6103,3621
Scotland District,S12000028,South Ayrshire,95700,6400,6200,5500,5400,6400,7900,8800,8500,7900,8400,7200,5900,4800,6400,0
England and Wales District,E07000006,South Bucks,54342,3897,3114,3414,3464,4057,5202,5412,5002,4233,4283,3437,3115,2477,2001,1234
England and Wales District,E07000012,South Cambridgeshire,120135,8734,7148,8083,9442,10791,11724,11795,10168,8945,9756,7515,5624,4576,3590,2244
England and Wales District,E07000039,South Derbyshire,76615,5874,4873,5400,5972,6692,7842,7559,6242,5884,6231,4738,3429,2710,2016,1153
England and Wales District,E06000025,South Gloucestershire,214490,17599,15458,15606,15863,17402,20709,21310,17270,15002,15748,13465,10575,8749,6086,3648
England and Wales District,E07000044,South Hams,69943,4692,3648,3424,3245,3997,5535,6553,6346,6231,7479,6034,4469,3688,2774,1828
England and Wales District,E07000140,South Holland,73619,4928,4523,4705,4668,5303,6150,6595,5843,5548,6579,5462,4767,3933,2920,1695
England and Wales District,E07000141,South Kesteven,109756,8123,6251,6809,7069,8374,10200,10600,9616,8654,9664,7889,5905,4640,3583,2379
England and Wales District,E07000031,South Lakeland,87791,5798,4272,4571,4758,5535,7436,7913,7604,7227,8790,7387,5788,4639,3778,2295
Scotland District,S12000029,South Lanarkshire,262100,19200,17600,18200,18400,20800,24700,25500,23900,21100,19800,15900,13300,10600,13100,0
England and Wales District,E07000149,South Norfolk,102151,7265,5357,5740,6200,7608,9031,9403,8529,8033,9573,7939,6204,5046,3842,2381
England and Wales District,E07000155,South Northamptonshire,69094,4978,3589,3603,4299,5883,7242,7359,6420,5598,6340,4754,3342,2588,1909,1190
England and Wales District,E07000179,South Oxfordshire,108811,7741,6214,7155,7561,9212,10807,10763,9353,8083,8722,7255,5785,4591,3374,2195
England and Wales District,E07000126,South Ribble,89759,6473,6349,6290,6119,7400,8336,8584,7284,6727,7510,5896,4811,3607,2744,1629
England and Wales District,E07000189,South Somerset,132882,9588,8513,8127,7860,9242,11202,11747,10808,10495,12252,10083,7907,6490,5260,3308
England and Wales District,E07000196,South Staffordshire,90940,6655,6035,4972,4785,6363,8149,8789,8069,7316,8169,7051,5666,4251,2907,1763
England and Wales District,E08000023,South Tyneside,123077,9493,9447,8901,8343,8610,10483,11720,11143,9531,9637,7096,6538,5492,4140,2503
England and Wales District,E06000045,Southampton,196485,17942,29384,21785,18600,15686,14602,14797,12716,10839,10946,8647,6796,5902,4759,3084
England and Wales District,E06000033,Southend-on-Sea,140910,10184,9832,11282,11623,12223,13083,12755,10887,9667,10419,8468,6716,5779,4769,3223
England and Wales District,E09000028,Southwark,236950,15966,26996,35725,32297,25299,22926,20121,16070,11084,9072,6547,5432,4271,3195,1949
England and Wales District,E07000213,Spelthorne,78456,5396,5179,5940,6605,6653,7442,7845,6471,5419,5611,4537,3970,3332,2509,1547
England and Wales District,E07000100,St Albans,111258,7972,6342,7831,9626,11242,11541,10981,9223,7916,7910,6031,5018,4214,3319,2092
England and Wales District,E07000204,St Edmundsbury,90889,6466,6493,7211,6548,7009,8219,8276,6827,6427,7507,6282,4993,3841,2958,1832
England and Wales District,E08000013,St. Helens,144464,10959,10522,10501,9747,11459,12931,13174,11727,10881,12255,9596,8016,6129,4165,2402
England and Wales District,E07000197,Stafford,108888,7853,8009,7102,7124,8225,10030,10127,8900,8268,9167,7825,6120,4595,3443,2100
England and Wales District,E07000198,Staffordshire Moorlands,81406,5632,4760,4467,4596,5864,7611,7606,6824,6678,7839,6381,4979,3866,2685,1618
